"Age..range","Catalog.ID","Note.on.data","Note.on.methods","Note.on.country","Note.on.population","Contraceptive.use.ANY","Contraceptive.use.MODERN","Contraceptive.use.TRADITIONAL","Unmet","GEO.biases..unknown.direction.","Non.pregnant.and.other.positive.biases","Negative.bias","Population.type","age.cat.bias","Modern.method.bias","Folk.method.positive.bias","Absence.of.probing.questions.bias...1","ISO.code","Country","Start.year_Year","End.year_Year","Start.year","End.year","Source.name","Data.series.type","EXCLUDE1isyes","SurveyID","SE.logR.modern.nouse","SE.logR.trad.nouse","SE.logR.unmet.noneed","SE.modern","SE.trad","SE.unmet","In.union"
"35-39",4369,NA,NA,"Excluding the six largest cities (Kabul, Hirat, Mazar-e-Sharif, Kunduz, Jalalabad and Kandahar), 5 of the 34 provinces in the country and 28 out of the selected 425 clusters where fieldwork was not completed due to security reasons.",NA,21.6,20.7,0.9,NA,"Excluding the six largest cities (Kabul, Hirat, Mazar-e-Sharif, Kunduz, Jalalabad and Kandahar), 5 of the 34 provinces in the country and 28 out of the selected 425 clusters where fieldwork was not completed due to security reasons.",NA,NA,"MW","0",NA,NA,1,4,"Afghanistan",2006,2006,2006.70410958904,2006.91232876712,"2006 HS","National survey",0,NA,NA,NA,NA,NA,NA,NA,1
"35-39",4465,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,"MW","0",NA,NA,0,4,"Afghanistan",2007,2008,2007.61917808219,2008.66393442623,"2007-2008 NRVA","National survey",0,NA,NA,NA,NA,NA,NA,NA,1
"35-39",4983,NA,NA,NA,NA,29.58436415,28.40906511,1.175299044,NA,NA,NA,NA,"MW","0",NA,NA,1,4,"Afghanistan",2010,2011,2010.74794520548,2011.41095890411,"2010-2011 MICS","MICS",0,NA,NA,NA,NA,NA,NA,NA,1
"35-39",5045,NA,NA,"Excluding areas in the South zone.",NA,29,26.6,2.4,NA,"Excluding areas in the South zone.",NA,NA,"MW","0",NA,NA,0,4,"Afghanistan",2010,2010,2010.24657534247,2010.99726027397,"2010 DHS Special","National survey",0,NA,NA,NA,NA,NA,NA,NA,1
"35-39",7515,NA,NA,NA,NA,NA,20.9,NA,NA,NA,NA,NA,"MW","0",NA,NA,0,4,"Afghanistan",2012,2012,2012.58196721311,2012.99726775956,"2012 AHS","National survey",0,NA,NA,NA,NA,NA,NA,NA,1
"35-39",5689,NA,NA,NA,NA,29.0156369256155,25.46130710836,3.55432981725559,26.1621921979656,NA,NA,NA,"MW","0",NA,NA,0,4,"Afghanistan",2015,2016,2015.41369863014,2016.16120218579,"2015 DHS","DHS",0,"af71",0.0590708733298354,0.137278628578718,0.0733581199153584,0.00978984339911462,0.00382161105969994,0.00929217010088787,1
"35-39",1943,NA,NA,NA,NA,64.46216913,21.15190097,43.31026816,NA,NA,NA,NA,"MW","0",NA,NA,0,8,"Albania",2000,2000,2000.41530054645,2000.51366120219,"2000 MICS","MICS",0,NA,NA,NA,NA,NA,NA,NA,1
"35-39",1681,NA,NA,NA,NA,81.9,9.3,72.6,NA,NA,NA,NA,"MW","0",NA,NA,0,8,"Albania",2002,2002,2002.58082191781,2002.99726027397,"2002 RHS","RHS",0,NA,NA,NA,NA,NA,NA,NA,1
"35-39",1906,NA,NA,NA,NA,67.08043542,25.78175216,41.29868326,NA,NA,NA,NA,"MW","0",NA,NA,0,8,"Albania",2005,2005,2005.74794520548,2005.91232876712,"2005 MICS","MICS",0,NA,NA,NA,NA,NA,NA,NA,1
"35-39",4483,NA,NA,NA,NA,75.412476398647,10.4880123450119,64.9244640536351,11.8454730323699,NA,NA,NA,"MW","0",NA,NA,0,8,"Albania",2008,2009,2008.74863387978,2009.32602739726,"2008-2009 DHS","DHS",0,"al51",0.142583239781469,0.104893085370797,0.156050432625935,0.00502595066600746,0.0104899819568009,0.0069115576117088,1
"35-39",7474,NA,NA,NA,NA,51.6790629831683,5.71935163013989,45.9597113530284,13.2527158128282,NA,NA,NA,"MW","0",NA,NA,0,8,"Albania",2017,2018,2017.69315068493,2018.13698630137,"2017-2018 DHS","DHS",0,"al71",0.160855294055047,0.0807931811880207,0.118906072169016,0.00171808377853847,0.00962840567073155,0.00464768415837326,1
"35-39",693,NA,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,"MW","0",NA,NA,0,12,"Algeria",1986,1987,1986,1987,"1986-1987 ENF","WFS",0,NA,NA,NA,NA,NA,NA,NA,1
"35-39",32,NA,NA,NA,NA,56.4,47.2,9.2,NA,NA,NA,NA,"MW","0",NA,NA,0,12,"Algeria",1992,1992,1992.41530054645,1992.57923497268,"1992 MCH","PAPCHILD",0,NA,NA,NA,NA,NA,NA,NA,1
"35-39",1933,NA,NA,NA,NA,71.2,55.3,15.8,NA,NA,NA,NA,"MW","0",NA,NA,1,12,"Algeria",2000,2000,2000.33606557377,2000.35519125683,"2000 MICS","MICS",0,NA,NA,NA,NA,NA,NA,NA,1
"35-39",149,NA,NA,NA,NA,66.4,60.7,5.5,NA,NA,NA,NA,"MW","0",NA,NA,0,12,"Algeria",2002,2002,2002.66575342466,2002.91232876712,"2002 MCH","PAPFAM",0,NA,NA,NA,NA,NA,NA,NA,1
"35-39",1913,NA,NA,NA,NA,69.1,60.8,8.3,10.5,NA,NA,NA,"MW","0",NA,NA,1,12,"Algeria",2006,2006,2006.22739726027,2006.43835616438,"2006 MICS","MICS",0,NA,NA,NA,NA,NA,NA,NA,1
"35-39",4984,NA,NA,NA,NA,67.0312685,55.87327236,11.15799614,7.1,NA,NA,NA,"MW","0",NA,NA,1,12,"Algeria",2012,2013,2012.80327868852,2013.08219178082,"2012-2013 MICS","MICS",0,NA,NA,NA,NA,NA,NA,NA,1
"35-39",1937,NA,NA,NA,NA,7.285999529,5.510664982,1.775334547,NA,NA,NA,NA,"MW","0",NA,NA,0,24,"Angola",2001,2001,2001.24657534247,2001.8301369863,"2001 MICS","MICS",0,NA,NA,NA,NA,NA,NA,NA,1
"35-39",4873,NA,NA,NA,NA,19.1,10.2,8.9,NA,NA,NA,NA,"MW","0",NA,NA,0,24,"Angola",2008,2009,2008.39344262295,2009.49315068493,"2008-2009 IBEP-MICS","National survey",0,NA,NA,NA,NA,NA,NA,NA,1
"35-39",5805,NA,NA,NA,NA,13.4052844904496,12.0940963646713,1.31118812577831,41.5336227483087,NA,NA,NA,"MW","0",NA,NA,0,24,"Angola",2015,2016,2015.83287671233,2016.16120218579,"2015-2016 DHS","DHS",0,"ao71",0.171222623719489,0.345531546091251,0.0800009828267927,0.00842758183967666,0.00082945178308164,0.00822643710788611,1
"35-39",2707,NA,NA,NA,"Data pertain to women exposed to the risk of pregnancy.",72.9,NA,NA,NA,NA,"+",NA,"MW","0",NA,NA,0,28,"Antigua and Barbuda",1981,1981,1981,1981,"1981 CPS","CPS",0,NA,NA,NA,NA,NA,NA,NA,1
"35-39",6003,NA,NA,"Data pertain to urban centers with 2,000 or more people.",NA,73.8371794031491,70.0522836932354,3.78489570991373,NA,"Data pertain to urban centers with 2,000 or more people.",NA,NA,"MW","0",NA,NA,0,32,"Argentina",2013,2013,2013.32876712329,2013.49315068493,"2013 ENSSyR","National survey",0,NA,NA,NA,NA,NA,NA,NA,1
"35-39",1848,NA,NA,NA,NA,70.902050973306,23.8190730690849,47.0829779042212,16.0274521595763,NA,NA,NA,"MW","0",NA,NA,0,51,"Armenia",2000,2000,2000.74863387978,2000.99726775956,"2000 DHS","DHS",0,"am42",0.113808509914875,0.0888349187161827,0.154272310624995,0.0141815749806858,0.0153955815886293,0.0120919180231528,1
"35-39",1843,NA,NA,NA,NA,62.3868182918929,21.5494074280199,40.837410863873,17.0870879106406,NA,NA,NA,"MW","0",NA,NA,0,51,"Armenia",2005,2005,2005.66575342466,2005.99726027397,"2005 DHS","DHS",0,"am54",0.146427722877228,0.128923546382484,0.174686794983846,0.0142879984312934,0.0180829783798626,0.0127791770551836,1
"35-39",5046,NA,NA,NA,NA,66.472910326336,33.9870841389117,32.4858261874242,11.9791418690749,NA,NA,NA,"MW","0",NA,NA,0,51,"Armenia",2010,2010,2010.74794520548,2010.99726027397,"2010 DHS","DHS",0,"am61",0.13898288135983,0.140829771901199,0.170485144497802,0.0235985245192743,0.0201809260255687,0.0127769226753869,1
