"Age..range","Catalog.ID","Note.on.data","Note.on.methods","Note.on.country","Note.on.population","Contraceptive.use.ANY","Contraceptive.use.MODERN","Contraceptive.use.TRADITIONAL","Unmet","GEO.biases..unknown.direction.","Non.pregnant.and.other.positive.biases","Negative.bias","Population.type","age.cat.bias","Modern.method.bias","Folk.method.positive.bias","Absence.of.probing.questions.bias...1","ISO.code","Country","Start.year_Year","End.year_Year","Start.year","End.year","Source.name","Data.series.type","EXCLUDE1isyes","SurveyID","SE.logR.modern.nouse","SE.logR.trad.nouse","SE.logR.unmet.noneed","SE.modern","SE.trad","SE.unmet","In.union"
"30-34",4369,NA,NA,"Excluding the six largest cities (Kabul, Hirat, Mazar-e-Sharif, Kunduz, Jalalabad and Kandahar), 5 of the 34 provinces in the country and 28 out of the selected 425 clusters where fieldwork was not completed due to security reasons.",NA,23.8,22.4,1.4,NA,"Excluding the six largest cities (Kabul, Hirat, Mazar-e-Sharif, Kunduz, Jalalabad and Kandahar), 5 of the 34 provinces in the country and 28 out of the selected 425 clusters where fieldwork was not completed due to security reasons.",NA,NA,"MW","0",NA,NA,1,4,"Afghanistan",2006,2006,2006.70410958904,2006.91232876712,"2006 HS","National survey",0,NA,NA,NA,NA,NA,NA,NA,1
"30-34",4465,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,"MW","0",NA,NA,0,4,"Afghanistan",2007,2008,2007.61917808219,2008.66393442623,"2007-2008 NRVA","National survey",0,NA,NA,NA,NA,NA,NA,NA,1
"30-34",4983,NA,NA,NA,NA,24.11610453,23.14241079,0.973693743,NA,NA,NA,NA,"MW","0",NA,NA,1,4,"Afghanistan",2010,2011,2010.74794520548,2011.41095890411,"2010-2011 MICS","MICS",0,NA,NA,NA,NA,NA,NA,NA,1
"30-34",5045,NA,NA,"Excluding areas in the South zone.",NA,25.7,23.3,2.4,NA,"Excluding areas in the South zone.",NA,NA,"MW","0",NA,NA,0,4,"Afghanistan",2010,2010,2010.24657534247,2010.99726027397,"2010 DHS Special","National survey",0,NA,NA,NA,NA,NA,NA,NA,1
"30-34",7515,NA,NA,NA,NA,NA,15.3,NA,NA,NA,NA,NA,"MW","0",NA,NA,0,4,"Afghanistan",2012,2012,2012.58196721311,2012.99726775956,"2012 AHS","National survey",0,NA,NA,NA,NA,NA,NA,NA,1
"30-34",5689,NA,NA,NA,NA,26.449024571414,22.6043144003424,3.84471017107156,27.5139566414853,NA,NA,NA,"MW","0",NA,NA,0,4,"Afghanistan",2015,2016,2015.41369863014,2016.16120218579,"2015 DHS","DHS",0,"af71",0.0712462196954089,0.159019310169764,0.0588583618553224,0.00877387834887586,0.00518141648862792,0.00867696601194068,1
"30-34",1943,NA,NA,NA,NA,64.13307043,20.11278819,44.02028224,NA,NA,NA,NA,"MW","0",NA,NA,0,8,"Albania",2000,2000,2000.41530054645,2000.51366120219,"2000 MICS","MICS",0,NA,NA,NA,NA,NA,NA,NA,1
"30-34",1681,NA,NA,NA,NA,78.7,9.4,69.3,NA,NA,NA,NA,"MW","0",NA,NA,0,8,"Albania",2002,2002,2002.58082191781,2002.99726027397,"2002 RHS","RHS",0,NA,NA,NA,NA,NA,NA,NA,1
"30-34",1906,NA,NA,NA,NA,63.43108504,31.24661579,32.18446925,NA,NA,NA,NA,"MW","0",NA,NA,0,8,"Albania",2005,2005,2005.74794520548,2005.91232876712,"2005 MICS","MICS",0,NA,NA,NA,NA,NA,NA,NA,1
"30-34",4483,NA,NA,NA,NA,72.8784978511865,13.3592354192992,59.5192624318872,13.0151404059875,NA,NA,NA,"MW","0",NA,NA,0,8,"Albania",2008,2009,2008.74863387978,2009.32602739726,"2008-2009 DHS","DHS",0,"al51",0.158867611933624,0.116698931090571,0.196581527322426,0.00436108608138625,0.00932502811518735,0.00631450364952347,1
"30-34",7474,NA,NA,NA,NA,44.8994026451225,5.04956348881303,39.8498391563095,22.572012562131,NA,NA,NA,"MW","0",NA,NA,0,8,"Albania",2017,2018,2017.69315068493,2018.13698630137,"2017-2018 DHS","DHS",0,"al71",0.167510263340813,0.100687043934197,0.115058289456841,0.00234476554589564,0.0082791740826249,0.00567943829782664,1
"30-34",693,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,"MW","0",NA,NA,0,12,"Algeria",1986,1987,1986,1987,"1986-1987 ENF","WFS",0,NA,NA,NA,NA,NA,NA,NA,1
"30-34",32,NA,NA,NA,NA,56.1,45.1,11,NA,NA,NA,NA,"MW","0",NA,NA,0,12,"Algeria",1992,1992,1992.41530054645,1992.57923497268,"1992 MCH","PAPCHILD",0,NA,NA,NA,NA,NA,NA,NA,1
"30-34",1933,NA,NA,NA,NA,72.8,57.8,14.9,NA,NA,NA,NA,"MW","0",NA,NA,1,12,"Algeria",2000,2000,2000.33606557377,2000.35519125683,"2000 MICS","MICS",0,NA,NA,NA,NA,NA,NA,NA,1
"30-34",149,NA,NA,NA,NA,61.3,56.2,4.9,NA,NA,NA,NA,"MW","0",NA,NA,0,12,"Algeria",2002,2002,2002.66575342466,2002.91232876712,"2002 MCH","PAPFAM",0,NA,NA,NA,NA,NA,NA,NA,1
"30-34",1913,NA,NA,NA,NA,67,60.4,6.7,10.2,NA,NA,NA,"MW","0",NA,NA,1,12,"Algeria",2006,2006,2006.22739726027,2006.43835616438,"2006 MICS","MICS",0,NA,NA,NA,NA,NA,NA,NA,1
"30-34",4984,NA,NA,NA,NA,62.35836594,53.10595744,9.252408497,7.4,NA,NA,NA,"MW","0",NA,NA,1,12,"Algeria",2012,2013,2012.80327868852,2013.08219178082,"2012-2013 MICS","MICS",0,NA,NA,NA,NA,NA,NA,NA,1
"30-34",1937,NA,NA,NA,NA,8.207332801,6.661421866,1.545910935,NA,NA,NA,NA,"MW","0",NA,NA,0,24,"Angola",2001,2001,2001.24657534247,2001.8301369863,"2001 MICS","MICS",0,NA,NA,NA,NA,NA,NA,NA,1
"30-34",4873,NA,NA,NA,NA,22.3,13.2,9.1,NA,NA,NA,NA,"MW","0",NA,NA,0,24,"Angola",2008,2009,2008.39344262295,2009.49315068493,"2008-2009 IBEP-MICS","National survey",0,NA,NA,NA,NA,NA,NA,NA,1
"30-34",5805,NA,NA,NA,NA,16.6855662746339,15.0057741422041,1.67979213242977,38.772026704788,NA,NA,NA,"MW","0",NA,NA,0,24,"Angola",2015,2016,2015.83287671233,2016.16120218579,"2015-2016 DHS","DHS",0,"ao71",0.128964139118477,0.380601642484626,0.0790373194216461,0.0068582714974701,0.00571515728003096,0.0080961433109088,1
"30-34",2707,NA,NA,NA,"Data pertain to women exposed to the risk of pregnancy.",59,NA,NA,NA,NA,"+",NA,"MW","0",NA,NA,0,28,"Antigua and Barbuda",1981,1981,1981,1981,"1981 CPS","CPS",0,NA,NA,NA,NA,NA,NA,NA,1
"30-34",5083,NA,NA,NA,"Data pertain to fecund women.",66.1,NA,NA,NA,NA,"+",NA,"MW","0",NA,NA,0,28,"Antigua and Barbuda",1988,1988,1988,1988,"1988 CPS","CCPS",0,NA,NA,NA,NA,NA,NA,NA,1
"30-34",6003,NA,NA,"Data pertain to urban centers with 2,000 or more people.",NA,80.7794713392398,77.1874672662475,3.59200407299231,NA,"Data pertain to urban centers with 2,000 or more people.",NA,NA,"MW","0",NA,NA,0,32,"Argentina",2013,2013,2013.32876712329,2013.49315068493,"2013 ENSSyR","National survey",0,NA,NA,NA,NA,NA,NA,NA,1
"30-34",1848,NA,NA,NA,NA,71.403843915234,29.7276215151958,41.6762224000382,15.792359690918,NA,NA,NA,"MW","0",NA,NA,0,51,"Armenia",2000,2000,2000.74863387978,2000.99726775956,"2000 DHS","DHS",0,"am42",0.109997737530715,0.103528117883764,0.159545365190225,0.017559732493973,0.0157991636819581,0.0110613531178628,1
"30-34",1843,NA,NA,NA,NA,67.294721678224,27.7144565968929,39.5802650813311,15.4205210793115,NA,NA,NA,"MW","0",NA,NA,0,51,"Armenia",2005,2005,2005.66575342466,2005.99726027397,"2005 DHS","DHS",0,"am54",0.133149984946437,0.121819532868885,0.184571336544513,0.0168300134830208,0.0186876082548973,0.0110105055955074,1
"30-34",5046,NA,NA,NA,NA,70.1477567780804,37.579256991566,32.5684997865145,11.9453744370807,NA,NA,NA,"MW","0",NA,NA,0,51,"Armenia",2010,2010,2010.74794520548,2010.99726027397,"2010 DHS","DHS",0,"am61",0.124225674591654,0.120871205096482,0.166890840440305,0.0200265952946679,0.0190602446328963,0.0134982439889952,1
"30-34",5806,NA,NA,NA,NA,66.39692062916,36.0116224031807,30.3852982259793,10.0605427519919,NA,NA,NA,"MW","0",NA,NA,0,51,"Armenia",2015,2016,2015.91506849315,2016.32786885246,"2015 DHS","DHS",0,"am72",0.096735564933634,0.0995003060403339,0.134816830764298,0.0166909219322631,0.0145599361462259,0.00832349416137651,1
"30-34",5603,NA,NA,NA,NA,58.73,55.86,2.87,NA,NA,NA,NA,"MW","0",NA,NA,1,36,"Australia",2005,2006,2005.64383561644,2006.18630136986,"2005-2006 HILDA","National survey",0,NA,NA,NA,NA,NA,NA,NA,1
"30-34",6026,NA,NA,NA,NA,55.52,50.65,4.87,NA,NA,NA,NA,"MW","0",NA,NA,1,36,"Australia",2008,2009,2008.62021857923,2009.15890410959,"2008-2009 HILDA","National survey",0,NA,NA,NA,NA,NA,NA,NA,1
"30-34",6002,NA,NA,NA,NA,58.58,56.31,2.27,NA,NA,NA,NA,"MW","0",NA,NA,1,36,"Australia",2011,2012,2011.57260273973,2012.12295081967,"2011-2012 HILDA","National survey",0,NA,NA,NA,NA,NA,NA,NA,1
"30-34",7344,NA,NA,NA,NA,62.41,60.6,1.81,NA,NA,NA,NA,"MW","0",NA,NA,1,36,"Australia",2015,2016,2015.5698630137,2016.10109289617,"2015-2016 HILDA","National survey",0,NA,NA,NA,NA,NA,NA,NA,1
"30-34",2848,NA,NA,NA,NA,62.8,57.3,5.5,NA,NA,NA,NA,"MW","0",NA,NA,1,40,"Austria",1995,1996,1995.91506849315,1996.41256830601,"1995-1996 FFS","FFS",0,NA,NA,NA,NA,NA,NA,NA,1
"30-34",6025,NA,"Modern methods include some cases of sterilisation for non-contraceptive reasons.",NA,NA,64.4586032988523,62.2044489734417,2.25415432541061,NA,NA,NA,NA,"MW","0","+",NA,1,40,"Austria",2012,2013,2012.72404371585,2013.4,"2012-2013 GGS","GGS",0,NA,NA,NA,NA,NA,NA,NA,1
"30-34",1912,NA,NA,NA,NA,69.7645601,21.68525403,48.07930607,NA,NA,NA,NA,"MW","0",NA,NA,1,31,"Azerbaijan",2000,2000,2000.58196721311,2000.65846994536,"2000 MICS","MICS",0,NA,NA,NA,NA,NA,NA,NA,1
"30-34",1670,NA,NA,NA,NA,62,12.7,49.3,NA,NA,NA,NA,"MW","0",NA,NA,0,31,"Azerbaijan",2001,2001,2001.24657534247,2001.57808219178,"2001 RHS","RHS",0,NA,NA,NA,NA,NA,NA,NA,1
"30-34",179,NA,NA,NA,NA,68.0151813634435,20.9510315383934,47.0641498250501,14.9830788773226,NA,NA,NA,"MW","0",NA,NA,0,31,"Azerbaijan",2006,2006,2006.49589041096,2006.91232876712,"2006 DHS","DHS",0,"az52",0.130328864103722,0.098799699183306,0.154269514167394,0.0175742632298707,0.0195804539410469,0.011124798040458,1
